"","match","pf_o_int","attr_o","intel_o","fun_o","prob_o","attr","fun","shar","prob"
"62","0",0,0.406976744186047,0.465116279069767,0.265116279069767,0.4,0.6,0.4,0.4,0.3
"63","0",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.3,0.7,0.8,0.8
"64","1",0.3,0.392156862745098,0.352941176470588,0.298039215686275,0.7,0.7,0.7,0.6,0.6
"65","0",0.4,0.454545454545455,0.409090909090909,0.259090909090909,0.4,0.4,0.4,0.5,0.6
"66","0",0.6,0.476190476190476,0.380952380952381,0.271428571428571,0.7,0.4,0.4,0.4,0.5
"67","0",0.5,0.603448275862069,0.344827586206897,0.262068965517241,0.4,0.7,0.7,0.7,0.7
"68","0",0.222222222222222,0.5,0.3,0.3325,0.5,0.5,0.5,0.5,0.7
"69","1",0.5,0.424528301886792,0.339622641509434,0.322641509433962,0.9,0.6,0.8,0.6,0.6
"70","0",0,0.416666666666667,0.380952380952381,0.271428571428571,0.7,0.8,0.7,0.6,0.5
"71","0",0.4,0.526315789473684,0.315789473684211,0.3,0.4,0.5,0.4,0.5,0.5
"72","1",0,0.454545454545455,0.454545454545455,0.302272727272727,0.4,0.8,0.9,0.7,0.7
"73","1",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.5,0.6,0.7,0.5
"74","1",0.3,0.425531914893617,0.340425531914894,0.323404255319149,0.7,0.8,0.6,0.5,0.6
"75","1",0.4,0.4,0.368421052631579,0.316666666666667,0.7,0.6,0.5,0.7,0.5
"76","1",0.6,0.454545454545455,0.318181818181818,0.302272727272727,0.6,0.6,0.5,0.7,0.5
"77","0",0.5,0.46875,0.4375,0.296875,0.4,0.6,0.5,0.7,0.6
"78","1",0.222222222222222,0.5,0.355555555555556,0.337777777777778,0.5,0.5,0.4,0.6,0.4
"79","1",0.5,0.392156862745098,0.313725490196078,0.372549019607843,0.8,0.8,0.9,0.9,1
"80","1",0,0.384615384615385,0.346153846153846,0.328846153846154,0.8,0.7,0.7,0.8,0.7
"81","0",0.4,0.365853658536585,0.341463414634146,0.370731707317073,0.4,0.8,0.8,0.6,0.5
"82","1",0,0.454545454545455,0.454545454545455,0.302272727272727,0.4,1,1,1,0.5
"83","1",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.5,0.6,0.6,0.5
"84","1",0.3,0.388888888888889,0.311111111111111,0.337777777777778,0.7,1,0.8,0.7,0.5
"85","1",0.4,0.372340425531915,0.340425531914894,0.363829787234043,0.8,0.5,0.8,0.5,0.5
"86","1",0.6,0.365853658536585,0.341463414634146,0.370731707317073,0.5,0.8,0.7,0.5,0.5
"87","1",0.5,0.5,0.35,0.38,0.4,0.6,0.6,0.6,0.5
"88","0",0.222222222222222,0.448717948717949,0.358974358974359,0.341025641025641,0.5,0.6,0.7,0.6,0.5
"89","1",0.5,0.405405405405405,0.324324324324324,0.35945945945946,0.6,0.8,0.6,0.5,0.6
"90","0",0,0.357142857142857,0.342857142857143,0.325714285714286,0.6,0.7,0.8,0.8,0.5
"91","0",0.4,0.426829268292683,0.341463414634146,0.370731707317073,0.3,0.6,0.6,0.6,0.3
"92","0",0,0.416666666666667,0.333333333333333,0.316666666666667,0.1,0.1,0.1,0.6,0.1
"93","1",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.6,1,0.6,0.6
"94","0",0.3,0.372340425531915,0.297872340425532,0.363829787234043,0.7,1,1,0.6,0.1
"95","0",0.4,0.4,0.368421052631579,0.316666666666667,0.6,0.5,0.7,0.6,0.1
"96","0",0.6,0.4,0.368421052631579,0.316666666666667,0.6,0.5,0.4,0.6,0.1
"97","0",0.5,0.603448275862069,0.275862068965517,0.196551724137931,0.6,0.5,0.6,0.6,0.1
"98","0",0.222222222222222,0.428571428571429,0.342857142857143,0.325714285714286,0.6,0.5,0.4,0.6,0.5
"99","1",0.5,0.4375,0.35,0.3325,0.8,0.9,0.9,0.9,0.9
"100","0",0,0.416666666666667,0.333333333333333,0.316666666666667,0.7,0.9,1,0.8,1
"101","0",0.4,0.375,0.35,0.3325,0.6,0.6,0.8,0.6,0.4
"102","0",0.5,0.378787878787879,0.484848484848485,0.23030303030303,0.4,0.8,0.9,0.4,0.2
"103","0",0.7,0.35,0.4,0.266,0.7,0.7,0.5,0.4,0.2
"104","0",0.4,0.238095238095238,0.380952380952381,0.226190476190476,0.7,0.6,0.7,0.5,0.3
"105","0",0.5,0.462962962962963,0.592592592592593,0.140740740740741,0.5,0.6,0.8,0.6,0.5
"106","0",0.4,0.365853658536585,0.341463414634146,0.278048780487805,0.6,0.7,0.9,0.4,0.4
"107","0",0.5,0.277777777777778,0.444444444444444,0.263888888888889,0.4,0.7,0.8,0.7,0.4
"108","0",0.545454545454545,0.347222222222222,0.388888888888889,0.211111111111111,0.5,0.8,0.6,0.5,0.4
"109","0",0.4,0.416666666666667,0.375,0.316666666666667,0.5,0.6,0.8,0.5,0.4
"110","0",0.3,0.4,0.368421052631579,0.316666666666667,0.3,0.7,0.8,0.5,0.3
"111","0",0.4,0.426829268292683,0.341463414634146,0.370731707317073,0.5,0.7,0.7,0.5,0.4
"112","0",0.5,0.5,0.3,0.285,0.3,0.7,0.6,0.5,0.4
"113","0",0.7,0.459183673469388,0.36734693877551,0.310204081632653,0.7,0.6,0.6,0.5,0.3
"114","0",0.4,0.416666666666667,0.333333333333333,0.395833333333333,0.1,0.6,0.6,0.5,0.3
"115","0",0.5,0.571428571428571,0.342857142857143,0.271428571428571,0.4,0.6,0.7,0.5,0.4
"116","0",0.4,0.375,0.45,0.285,0.6,0.6,0.6,0.6,0.4
"117","0",0.5,0.405405405405405,0.432432432432432,0.205405405405405,0.3,0.7,0.6,0.5,0.4
"118","1",0.545454545454545,0.454545454545455,0.318181818181818,0.388636363636364,0.7,0.8,0.7,0.5,0.4
"119","1",0.4,0.416666666666667,0.333333333333333,0.316666666666667,0.5,0.8,0.7,0.5,0.4
"120","0",0.3,0.4,0.368421052631579,0.316666666666667,0.1,0.1,0.1,0.1,0.1
"121","1",0.4,0.297619047619048,0.428571428571429,0.361904761904762,0.5,1,1,1,1
"122","0",0.5,0.357142857142857,0.514285714285714,0.325714285714286,0.7,1,1,1,1
"123","0",0.7,0.364583333333333,0.375,0.277083333333333,0.7,1,1,1,1
"124","0",0.4,0.25,0.4,0.38,0.1,1,1,1,1
"125","0",0.5,0.27027027027027,0.432432432432432,0.410810810810811,0.5,1,1,1,1
"126","0",0.4,0.344827586206897,0.620689655172414,0.262068965517241,0.2,1,1,1,1
"127","0",0.5,0.1875,0.4,0.3325,0.8,1,1,1,1
"128","1",0.545454545454545,0.304878048780488,0.390243902439024,0.278048780487805,0.5,1,1,1,1
"129","1",0.4,0.290697674418605,0.465116279069767,0.265116279069767,0.5,1,1,1,1
"130","1",0.3,0.4,0.368421052631579,0.316666666666667,0.6,1,1,1,1
"131","1",0.4,0.416666666666667,0.380952380952381,0.316666666666667,0.6,0.7,0.8,0.8,0.7
"132","1",0.5,0.426829268292683,0.341463414634146,0.278048780487805,0.8,0.9,0.9,0.9,0.7
"133","0",0.7,0.46875,0.375,0.277083333333333,0.7,0.7,0.8,0.8,0.7
"134","1",0.4,0.384615384615385,0.269230769230769,0.365384615384615,1,0.7,0.9,0.9,1
"135","1",0.5,0.48780487804878,0.24390243902439,0.324390243902439,0.2,0.6,0.8,1,0.7
"136","1",0.4,0.512820512820513,0.358974358974359,0.38974358974359,0.4,0.6,0.7,0.8,0.7
"137","1",0.5,0.406976744186047,0.372093023255814,0.309302325581395,0.6,0.8,0.8,0.9,0.7
"138","1",0.545454545454545,0.555555555555556,0.277777777777778,0.316666666666667,0.6,0.8,0.8,0.7,0.7
"139","1",0.4,0.510204081632653,0.326530612244898,0.310204081632653,0.5,0.7,0.8,0.7,0.7
"140","0",0.3,0.4,0.368421052631579,0.316666666666667,0.1,0.7,0.9,0.8,0.7
"141","1",0.4,0.337837837837838,0.378378378378378,0.35945945945946,0.6,0.8,0.6,0.7,0.6
"142","0",0.5,0.333333333333333,0.311111111111111,0.38,0.6,1,1,0.8,0.1
"143","0",0.7,0.38135593220339,0.338983050847458,0.322033898305085,0.5,0.6,0.6,0.6,0.1
"144","0",0.4,0.306122448979592,0.326530612244898,0.348979591836735,0.7,0.8,0.8,0.9,0.7
"145","0",0.5,0.405405405405405,0.378378378378378,0.256756756756757,0.4,0.5,0.7,0.5,0.7
"146","0",0.4,0.403225806451613,0.516129032258065,0.490322580645161,0.3,0.9,0.7,0.6,0.2
"147","0",0.5,0.285714285714286,0.4,0.217142857142857,0.6,0.8,0.6,0.5,0.4
"148","1",0.545454545454545,0.375,0.4,0.2375,0.5,0.9,0.9,0.7,0.7
"149","1",0.4,0.304878048780488,0.390243902439024,0.370731707317073,0.5,0.7,0.9,0.7,0.8
"150","0",0.3,0.4,0.368421052631579,0.316666666666667,0.1,0.6,0.7,0.6,0.6
"151","0",0.4,0.294117647058823,0.411764705882353,0.223529411764706,0.5,0.7,0.8,0.7,0.6
"152","0",0.5,0.588235294117647,0.470588235294118,0.167647058823529,0.5,0.7,0.5,0.7,0.5
"153","0",0.7,0.377358490566038,0.377358490566038,0.250943396226415,0.5,0.7,0.6,0.6,0.7
"154","0",0.4,0.337837837837838,0.432432432432432,0.205405405405405,0.3,0.6,0.7,0.7,0.6
"155","0",0.5,0.328947368421053,0.368421052631579,0.25,0.3,0.5,0.7,0.7,0.7
"156","0",0.4,0.394736842105263,0.631578947368421,0.1,0.2,0.6,0.8,0.7,0.6
"157","0",0.5,0.3125,0.4375,0.2375,0.5,0.8,0.6,0.6,0.7
"158","1",0.545454545454545,0.375,0.4,0.2375,0.5,0.8,0.7,0.7,0.6
"159","1",0.4,0.454545454545455,0.409090909090909,0.302272727272727,0.5,0.6,0.8,0.7,0.5
"160","0",0.3,0.4,0.368421052631579,0.316666666666667,0.1,0.6,0.7,0.7,0.6
"161","0",0.4,0.472972972972973,0.378378378378378,0.205405405405405,0.5,0.3,0.5,0.7,0.1
"162","0",0.5,0.406976744186047,0.418604651162791,0.265116279069767,0.7,0.5,0.3,0.3,0.3
"163","0",0.7,0.4,0.4,0.266,0.7,0.6,0.4,0.4,0.2
"164","0",0.4,0.357142857142857,0.408163265306122,0.271428571428571,0.1,0.7,0.5,0.5,0.4
"165","0",0.5,0.416666666666667,0.444444444444444,0.263888888888889,0.3,0.2,0.4,0.3,0.3
"166","0",0.4,0.512820512820513,0.41025641025641,0.38974358974359,0.7,0.5,0.4,0.4,0.3
"167","0",0.5,0.406976744186047,0.372093023255814,0.309302325581395,0.7,0.7,0.4,0.3,0.4
"168","0",0.545454545454545,0.375,0.4,0.2375,0.6,0.6,0.5,0.4,0.4
"169","1",0.4,0.365853658536585,0.439024390243902,0.278048780487805,0.5,0.8,0.8,0.5,0.4
"170","0",0.3,0.4,0.368421052631579,0.316666666666667,0.1,0.7,0.3,0.4,0.6
"171","0",0.4,0.27027027027027,0.378378378378378,0.308108108108108,0.7,0.6,0.6,0.6,0.5
"172","0",0.5,0.32051282051282,0.358974358974359,0.243589743589744,0.6,0.7,0.7,0.5,0.6
"173","0",0.7,0.357142857142857,0.36734693877551,0.310204081632653,0.7,0.4,0.4,0.4,0.1
"174","0",0.4,0.284090909090909,0.409090909090909,0.215909090909091,0.6,0.6,0.6,0.5,0.7
"175","0",0.5,0.357142857142857,0.4,0.325714285714286,0.4,0.5,0.5,0.5,0.5
"176","0",0.4,0.294117647058823,0.529411764705882,0.111764705882353,0.5,0.6,0.7,0.5,0.6
"177","0",0.5,0.32051282051282,0.41025641025641,0.243589743589744,0.7,0.8,0.7,0.5,0.5
"178","1",0.545454545454545,0.378787878787879,0.424242424242424,0.23030303030303,0.4,0.9,0.8,0.5,0.5
"179","0",0.4,0.348837209302326,0.372093023255814,0.309302325581395,0.5,0.7,0.7,0.5,0.5
"180","0",0.3,0.4,0.368421052631579,0.316666666666667,0.5,0.6,0.6,0.5,0.6
"181","1",0.4,0.380434782608696,0.347826086956522,0.371739130434783,0.7,0.7,0.8,0.9,0.8
"182","1",0.5,0.448717948717949,0.41025641025641,0.438461538461538,0.6,0.8,0.9,0.7,0.8
"183","0",0.7,0.416666666666667,0.333333333333333,0.316666666666667,0.7,0.7,0.8,0.7,0.7
"184","1",0.4,0.432692307692308,0.384615384615385,0.365384615384615,0.8,0.7,1,1,0.8
"185","1",0.5,0.406976744186047,0.325581395348837,0.353488372093023,0.4,0.5,0.9,0.6,0.7
"186","1",0.4,0.397727272727273,0.363636363636364,0.345454545454546,0.6,0.6,0.6,0.6,0.6
"187","1",0.5,0.357142857142857,0.380952380952381,0.361904761904762,0.6,0.9,0.9,1,0.9
"188","1",0.545454545454545,0.425531914893617,0.212765957446809,0.363829787234043,1,0.8,1,1,0.8
"189","1",0.4,0.588235294117647,0.294117647058824,0.335294117647059,0.6,0.6,0.7,0.6,0.6
"190","1",0.3,0.416666666666667,0.333333333333333,0.316666666666667,0.9,0.7,0.7,0.6,0.8
"191","0",0.4,0.290697674418605,0.27906976744186,0.353488372093023,0.6,0.6,0.6,0.6,0.6
"192","0",0.5,0.333333333333333,0.355555555555556,0.295555555555556,0.7,0.6,0.7,0.7,0.9
"193","0",0.7,0.425531914893617,0.382978723404255,0.282978723404255,0.7,0.5,0.5,0.6,0.5
"194","0",0.4,0.377358490566038,0.377358490566038,0.358490566037736,0.8,0.7,0.7,0.7,0.7
"195","0",0.5,0.535714285714286,0.333333333333333,0.407142857142857,0.3,0.3,0.7,0.5,1
"196","0",0.4,0.384615384615385,0.346153846153846,0.328846153846154,0.8,0.7,0.6,0.7,0.7
"197","0",0.5,0.476190476190476,0.333333333333333,0.316666666666667,0.5,0.7,0.6,0.7,0.7
"198","1",0.545454545454545,0.388888888888889,0.355555555555556,0.295555555555556,0.7,0.8,0.9,0.8,0.8
"199","0",0.4,0.388888888888889,0.311111111111111,0.337777777777778,0.5,0.5,0.6,0.6,0.6
"200","0",0.3,0.432692307692308,0.307692307692308,0.365384615384615,1,0.6,0.6,0.6,0.7
"201","0",0.5,0.1875,0.5,0.285,0.1,0.6,0.9,0.7,0.1
"202","0",0.2,0.4,0.368421052631579,0.316666666666667,0.5,0.5,0.5,0.5,0.2
"203","0",0.4,0.197368421052632,0.473684210526316,0.25,0.7,0.8,0.8,0.6,0.3
"204","0",0.6,0.37037037037037,0.444444444444444,0.281481481481481,0.2,0.5,0.4,0.3,0.1
"205","0",0.416666666666667,0.365853658536585,0.390243902439024,0.278048780487805,0.8,0.7,0.5,0.2,0.1
"206","0",0.5,0.388888888888889,0.355555555555556,0.295555555555556,0.7,0.6,0.6,0.4,0.2
"207","0",0.4,0.3125,0.416666666666667,0.316666666666667,0.6,0.6,0.6,0.5,0.2
"208","0",0.5,0.608108108108108,0.324324324324324,0.256756756756757,0.6,0.4,0.4,0.3,0.1
"209","0",0.5,0.234375,0.3125,0.296875,0.2,0.7,0.5,0.3,0.1
"210","0",0.4,0.428571428571429,0.457142857142857,0.217142857142857,0.6,0.9,0.9,0.8,0.5
"211","0",0.4,0.4,0.368421052631579,0.316666666666667,0.7,0.5,0.7,0.6,0.1
"212","0",0.7,0.2,0.64,0.228,0.3,0.7,0.4,0.2,0.1
"213","0",0.3,0.384615384615385,0.41025641025641,0.292307692307692,0.3,0.5,0.5,0.2,0.1
"214","0",0.4,0.357142857142857,0.380952380952381,0.316666666666667,0.7,0.6,0.7,0.2,0.1
"215","0",0.4,0.328947368421053,0.368421052631579,0.35,0.5,0.6,0.6,0.2,0.1
"216","0",0.5,0.284090909090909,0.454545454545455,0.302272727272727,0.6,0.5,0.8,0.5,0.3
"217","0",0.5,0.25,0.4,0.38,0.1,0.5,0.6,0.5,0.4
"218","0",0.2,0.4,0.368421052631579,0.316666666666667,0.5,0.4,0.6,0.2,0.3
"219","0",0.4,0.267857142857143,0.571428571428571,0.339285714285714,0.1,0.5,0.5,0.3,0.2
"220","0",0.6,0.434782608695652,0.434782608695652,0.247826086956522,0.2,0.5,0.5,0.3,0.3
"221","1",0.416666666666667,0.394736842105263,0.315789473684211,0.3,0.5,0.6,0.7,0.6,0.6
"222","1",0.5,0.472972972972973,0.378378378378378,0.256756756756757,0.5,0.6,0.4,0.6,0.6
"223","0",0.4,0.367647058823529,0.294117647058824,0.279411764705882,0.5,0.8,0.7,0.7,0.4
"224","0",0.5,0.4,0.368421052631579,0.316666666666667,0.6,0.5,0.6,0.5,0.4
"225","0",0.5,0.4,0.368421052631579,0.316666666666667,0.1,0.7,0.7,0.6,0.4
"226","0",0.4,0.4,0.368421052631579,0.316666666666667,0.4,0.6,0.5,0.4,0.3
"227","0",0.4,0.4,0.368421052631579,0.316666666666667,0.7,0.5,0.7,0.7,0.6
"228","0",0.7,0.416666666666667,0.5,0.316666666666667,0.1,0.3,0.4,0.2,0.1
"229","0",0.3,0.303030303030303,0.424242424242424,0.345454545454546,0.2,0.3,0.5,0.4,0.2
"230","0",0.4,0.348837209302326,0.372093023255814,0.309302325581395,0.5,0.7,0.6,0.8,0.5
"231","0",0.4,0.285714285714286,0.4,0.325714285714286,0.4,0.4,0.4,0.4,0.2
"232","0",0.5,0.265957446808511,0.382978723404255,0.282978723404255,0.7,0.6,0.7,0.7,0.6
"233","0",0.5,0.480769230769231,0.230769230769231,0.511538461538462,0.1,0.5,0.6,0.7,0.6
"234","0",0.2,0.4,0.368421052631579,0.316666666666667,0.5,0.5,0.6,0.7,0.6
"235","0",0.4,0.4,0.368421052631579,0.316666666666667,0.8,0.6,0.6,0.6,0.5
"236","1",0.6,0.416666666666667,0.416666666666667,0.316666666666667,0.4,0.5,0.6,0.7,0.6
"237","1",0.416666666666667,0.408163265306122,0.326530612244898,0.387755102040816,0.8,0.7,0.6,0.9,1
"238","1",0.5,0.4375,0.35,0.285,0.7,0.6,0.6,0.5,0.5
"239","0",0.4,0.3125,0.375,0.316666666666667,0.6,0.7,0.7,0.6,0.5
"240","0",0.5,0.390625,0.375,0.2375,0.5,0.5,0.6,0.6,0.5
"241","0",0.5,0.384615384615385,0.461538461538462,0.292307692307692,0.2,0.6,0.8,0.5,0.5
"242","0",0.4,0.448717948717949,0.41025641025641,0.292307692307692,0.5,0.7,0.7,0.7,0.6
"243","0",0.4,0.4,0.368421052631579,0.316666666666667,0.5,0.6,0.8,0.7,0.5
"244","0",0.7,0.588235294117647,0.470588235294118,0.111764705882353,0.5,0.7,0.4,0.4,0.4
"245","0",0.3,0.472972972972973,0.324324324324324,0.308108108108108,0.2,0.6,0.7,0.6,0.5
"246","0",0.4,0.397727272727273,0.363636363636364,0.302272727272727,0.6,0.6,0.7,0.6,0.5
"247","0",0.4,0.348837209302326,0.325581395348837,0.309302325581395,0.5,0.6,0.6,0.5,0.4
"248","0",0.5,0.3,0.4,0.304,0.7,0.6,0.6,0.5,0.5
"249","0",0.5,0.271739130434783,0.391304347826087,0.371739130434783,0.3,0.5,0.7,0.6,0.3
"250","0",0.2,0.4,0.368421052631579,0.316666666666667,0.5,0.7,0.7,0.6,0.4
"251","0",0.4,0.448717948717949,0.358974358974359,0.438461538461538,0.1,0.6,0.7,0.6,0.5
"252","0",0.6,0.431034482758621,0.413793103448276,0.262068965517241,0.5,0.7,0.8,0.6,0.5
"253","0",0.416666666666667,0.290697674418605,0.372093023255814,0.309302325581395,0.6,0.5,0.7,0.6,0.7
"254","0",0.5,0.441176470588235,0.352941176470588,0.335294117647059,0.6,0.7,0.7,0.6,0.6
"255","0",0.4,0.372340425531915,0.340425531914894,0.323404255319149,0.5,0.9,0.8,0.8,0.7
"256","0",0.5,0.454545454545455,0.363636363636364,0.287878787878788,0.6,0.5,0.7,0.7,0.7
"257","0",0.5,0.4,0.368421052631579,0.316666666666667,0.3,0.7,0.8,0.6,0.6
"258","0",0.4,0.460526315789474,0.315789473684211,0.25,0.4,0.6,0.8,0.6,0.5
"259","0",0.4,0.4,0.368421052631579,0.316666666666667,0.7,0.6,0.8,0.6,0.7
"260","0",0.7,0.472972972972973,0.378378378378378,0.308108108108108,0.2,0.6,0.7,0.6,0.7
"261","0",0.3,0.486111111111111,0.5,0.263888888888889,0.2,0.4,0.6,0.7,0.6
"262","0",0.4,0.434782608695652,0.347826086956522,0.330434782608696,0.7,0.8,0.7,0.8,0.7
"263","0",0.4,0.444444444444444,0.355555555555556,0.295555555555556,0.5,0.6,0.8,0.8,0.6
"264","0",0.5,0.416666666666667,0.375,0.316666666666667,0.6,0.8,0.7,0.2,0.4
"265","0",0.5,0.416666666666667,0.375,0.35625,0.1,0.7,0.6,0.5,0.4
"266","0",0.2,0.4,0.368421052631579,0.316666666666667,0.5,0.5,0.6,0.5,0.3
"267","0",0.4,0.4,0.368421052631579,0.316666666666667,0.6,0.6,0.7,0.7,0.5
"268","0",0.6,0.645161290322581,0.387096774193548,0.367741935483871,0.1,0.4,0.4,0.4,0.5
"269","0",0.416666666666667,0.5,0.342857142857143,0.38,0.6,0.6,0.7,0.3,0.4
"270","0",0.5,0.460526315789474,0.315789473684211,0.35,0.7,0.6,0.5,0.7,0.5
"271","0",0.4,0.520833333333333,0.291666666666667,0.316666666666667,0.6,0.7,0.6,0.6,0.7
"272","0",0.5,0.5,0.333333333333333,0.316666666666667,0.5,0.3,0.8,0.5,0.4
"273","0",0.5,0.4,0.368421052631579,0.316666666666667,0.7,0.7,0.8,0.6,0.6
"274","0",0.4,0.523255813953488,0.325581395348837,0.353488372093023,0.4,0.8,0.8,0.8,0.8
"275","0",0.4,0.4,0.368421052631579,0.316666666666667,0.7,0.9,0.8,0.7,0.7
